FID,globalid,Building name,Building code,Entrance name,Is the entrance width greater than 32 in?,Is the door automatic?,How is the ground in front of the entrance?,Additional Notes,Creation date,Creator,Last edited,Editor,Is there braille signage at the entrance?,Braille notes,Picture,GlobalID_2,Creation_1,Creator_1,EditDate_1,Editor_1,GlobalID_3,CreationDate,Creator,EditDate,Editor,Photo,x,y
1,{39969B14-A285-41DE-9DD7-02724635B731},Annenberg Center for the Performing arts,10,37th street entrance,yes,no,stairs,"Entrance is only reachable by a flight if stairs, not accessible to wheelchairs",3/28/2018 12:00:00 AM, ,5/21/2018 12:00:00 AM, ,no, ,https://services3.arcgis.com/9nfxWATFamVUTTGb/arcgis/rest/services/service_dd44d29f58714804868f07211f8f6050/FeatureServer/0/36/attachments/37?token=,74ba7b48-2110-46bc-834e-57bb74e3adff,7/5/2018 12:00:00 AM,madhurap_UPenn,7/5/2018 12:00:00 AM,madhurap_UPenn,7032848b-0f70-4891-b26a-9b3b756fcaa6,11/7/2018 12:58:58 PM,upennamp_UPenn,11/7/2018 12:58:58 PM,upennamp_UPenn,,-75.196699413,39.9530679850001
2,{759B1A32-3627-4ED6-85B7-08BF6D2DB80E},Silverman Hall,305,Main,yes,no,stairs,Sign directs access entry to 3501 Sansom,4/20/2018 12:00:00 AM, ,5/21/2018 12:00:00 AM, ,no, ,https://services3.arcgis.com/9nfxWATFamVUTTGb/arcgis/rest/services/service_dd44d29f58714804868f07211f8f6050/FeatureServer/0/43/attachments/43?token=,4ce7e0e5-dc22-47ba-a0fc-3667fdfeb3b7,7/5/2018 12:00:00 AM,madhurap_UPenn,7/5/2018 12:00:00 AM,madhurap_UPenn,8739bdef-2a8e-4f83-8b57-655132ff5396,11/7/2018 12:58:58 PM,upennamp_UPenn,11/7/2018 12:58:58 PM,upennamp_UPenn,,-75.1920351429999,39.953922882
3,{D0F058BB-458A-4FD6-87D5-09711B1953D4},Graduate Student Center,9855,East- Side entrance,yes,yes,ramp, ,3/28/2018 12:00:00 AM, ,5/21/2018 12:00:00 AM, ,no, ,https://services3.arcgis.com/9nfxWATFamVUTTGb/arcgis/rest/services/service_dd44d29f58714804868f07211f8f6050/FeatureServer/0/26/attachments/28?token=,d7bba709-30db-4365-b95e-53d2abc1db1c,7/5/2018 12:00:00 AM,madhurap_UPenn,7/5/2018 12:00:00 AM,madhurap_UPenn,495d6092-be2f-4234-9c00-cc2789c93dc6,11/7/2018 12:58:58 PM,upennamp_UPenn,11/7/2018 12:58:58 PM,upennamp_UPenn,,-75.19559992,39.9522480410001
4,{C94E1B2F-31D6-4272-A6A6-0B946B8654FC},Lerner Center,Campus 365,Main and Accessible Entrance (north side),yes,no,both,Either use 7 stairs or ramp,3/28/2018 12:00:00 AM, ,5/21/2018 12:00:00 AM, ,no, ,https://services3.arcgis.com/9nfxWATFamVUTTGb/arcgis/rest/services/service_dd44d29f58714804868f07211f8f6050/FeatureServer/0/15/attachments/19?token=,8a6583e2-0157-4113-a562-dc21d35d5bf6,7/5/2018 12:00:00 AM,madhurap_UPenn,7/5/2018 12:00:00 AM,madhurap_UPenn,b8e669cb-e2b3-4a87-a719-84173d79d659,11/7/2018 12:58:58 PM,upennamp_UPenn,11/7/2018 12:58:58 PM,upennamp_UPenn,,-75.19192,39.9520865000001
5,{EE59ADA9-9B01-41E2-BBFF-11EF44EE182A},Fisher Fine Arts Library,Campus 170,During Wing Accessible Entrance (south side),yes,yes,level,Automatic door opens towards you. Approximately 4 feet wide.,3/28/2018 12:00:00 AM, ,5/29/2018 12:00:00 AM, ,no, ,https://services3.arcgis.com/9nfxWATFamVUTTGb/arcgis/rest/services/service_dd44d29f58714804868f07211f8f6050/FeatureServer/0/11/attachments/13?token=,e8bc77b7-7db1-4dc4-82a0-c0782675d5aa,7/5/2018 12:00:00 AM,madhurap_UPenn,7/19/2018 12:00:00 AM,madhurap_UPenn,d19f03ff-bf46-492e-be54-60d7be00cd20,11/7/2018 12:58:58 PM,upennamp_UPenn,11/7/2018 12:58:58 PM,upennamp_UPenn,,-75.192819189,39.951287952
6,{FA1B3824-B7D8-44A3-BDC7-252637966758},Stiteler Hall,Campus 550,North,yes,no,stairs,Between two sets of stairs,3/28/2018 12:00:00 AM, ,5/21/2018 12:00:00 AM, ,no, ,https://services3.arcgis.com/9nfxWATFamVUTTGb/arcgis/rest/services/service_dd44d29f58714804868f07211f8f6050/FeatureServer/0/13/attachments/16?token=,69a2a2cb-14ca-46f8-b4ca-e2525ad9bf5b,7/5/2018 12:00:00 AM,madhurap_UPenn,7/5/2018 12:00:00 AM,madhurap_UPenn,05f336ef-c103-483b-b8d7-18b7faab2f34,11/7/2018 12:58:58 PM,upennamp_UPenn,11/7/2018 12:58:58 PM,upennamp_UPenn,,-75.1970376519999,39.952997489
7,{4F6F33F5-2BAC-4E7E-9FBE-276120B3A9A6},Graduate education building,Campus 130,South,yes,no,stairs, ,3/28/2018 12:00:00 AM, ,5/30/2018 12:00:00 AM, ,no, ,https://services3.arcgis.com/9nfxWATFamVUTTGb/arcgis/rest/services/service_dd44d29f58714804868f07211f8f6050/FeatureServer/0/18/attachments/21?token=,033a5743-4cd2-4226-816f-dd568aafdfa0,7/5/2018 12:00:00 AM,madhurap_UPenn,7/5/2018 12:00:00 AM,madhurap_UPenn,e5784748-fd01-43dd-9a62-a5ed65702fcd,11/7/2018 12:58:58 PM,upennamp_UPenn,11/7/2018 12:58:58 PM,upennamp_UPenn,,-75.197265855,39.9531332560001
8,{282A8746-4878-48DE-B7C1-2798746B730E},Jon M Huntsman Hall, ,Locust Walk Entrance,yes,yes,level, ,3/28/2018 12:00:00 AM, ,5/21/2018 12:00:00 AM, , ,N/A,https://services3.arcgis.com/9nfxWATFamVUTTGb/arcgis/rest/services/service_dd44d29f58714804868f07211f8f6050/FeatureServer/0/9/attachments/11?token=,53ceaad9-b28a-4e35-92ab-43f77d7153de,7/5/2018 12:00:00 AM,madhurap_UPenn,7/5/2018 12:00:00 AM,madhurap_UPenn,64fac98a-0f07-44e0-8a10-51c2baa30a97,11/7/2018 12:58:58 PM,upennamp_UPenn,11/7/2018 12:58:58 PM,upennamp_UPenn,,-75.198311276,39.952513276
9,{109721D9-3D72-41CC-86EE-2DB550FFFC5D},Tanenbaum Hall,286,Main interior entrance,yes,no,ramp, ,4/20/2018 12:00:00 AM, ,5/21/2018 12:00:00 AM, ,no, ,https://services3.arcgis.com/9nfxWATFamVUTTGb/arcgis/rest/services/service_dd44d29f58714804868f07211f8f6050/FeatureServer/0/45/attachments/44?token=,8780535c-cb3d-4cdf-a896-3dab43a6e511,7/5/2018 12:00:00 AM,madhurap_UPenn,7/5/2018 12:00:00 AM,madhurap_UPenn,7a641501-bc81-4496-9420-d289fcf96d62,11/7/2018 12:58:58 PM,upennamp_UPenn,11/7/2018 12:58:58 PM,upennamp_UPenn,,-75.193448577,39.9540848080001
10,{B5FC73AA-227C-4B42-ABE9-3793B12D14B2},Penn Museum, ,Kamin Entrance, ,no,both, ,3/26/2018 12:00:00 AM, ,5/21/2018 12:00:00 AM, , , ,https://services3.arcgis.com/9nfxWATFamVUTTGb/arcgis/rest/services/service_dd44d29f58714804868f07211f8f6050/FeatureServer/0/7/attachments/9?token=,7abc57a0-8c11-4348-9b48-1d79764fcda3,7/5/2018 12:00:00 AM,madhurap_UPenn,7/5/2018 12:00:00 AM,madhurap_UPenn,96587baa-9756-43a0-b2fa-cc7d74a08ac7,11/7/2018 12:58:58 PM,upennamp_UPenn,11/7/2018 12:58:58 PM,upennamp_UPenn,,-75.19146426,39.9500156570001
