FID,globalid,Obstruction type,Is it permanent?,Is there an alternate route?,Describe alternate route,Creation date,Creator,Last edited,Editor,Picture,GlobalID_2,Creation_1,Creator_1,EditDate_1,Editor_1,GlobalID_3,CreationDate,Creator,EditDate,Editor,Image,x,y
1,{B264D58D-DD48-4665-8E54-5B34E3857823},Stairs,yes,yes,Ramp nearby,2/26/2018 12:00:00 AM, ,5/21/2018 12:00:00 AM, ,https://services3.arcgis.com/9nfxWATFamVUTTGb/arcgis/rest/services/service_5720cc53888e4e04866aa52501ab9b46/FeatureServer/0/1/attachments/1?token=,ae709e0f-d436-47de-844e-73ee8ae69c95,7/5/2018 12:00:00 AM,madhurap_UPenn,7/5/2018 12:00:00 AM,madhurap_UPenn,efbda63c-ee62-493a-8d9b-5cb7e947ea50,11/13/2018 2:24:08 PM,upennamp_UPenn,11/13/2018 2:24:08 PM,upennamp_UPenn,,-75.1971554679999,39.9514992800001
2,{AA3D1F77-30E4-4375-8BE9-87EE760D5C05},Stairs,yes,yes,Staircase,3/9/2018 12:00:00 AM, ,5/21/2018 12:00:00 AM, ,https://services3.arcgis.com/9nfxWATFamVUTTGb/arcgis/rest/services/service_5720cc53888e4e04866aa52501ab9b46/FeatureServer/0/8/attachments/2?token=,68fc9124-89fd-4ce2-9de9-942afb4e8c28,7/5/2018 12:00:00 AM,madhurap_UPenn,7/5/2018 12:00:00 AM,madhurap_UPenn,0f178a64-a021-47d7-a5b6-b6f9ae9a19b7,11/13/2018 2:24:08 PM,upennamp_UPenn,11/13/2018 2:24:08 PM,upennamp_UPenn,,-75.19478326,39.951613437
3,{8360DC3E-DDD7-4FCF-BDD3-610D9A869A7E},Stairs VPL,yes,no,Shallow long stairs from courtyard to locust walk in front of van pelt. Alternate route goes around building.,3/24/2018 12:00:00 AM,amcgr_UPenn,5/21/2018 12:00:00 AM, ,https://services3.arcgis.com/9nfxWATFamVUTTGb/arcgis/rest/services/service_5720cc53888e4e04866aa52501ab9b46/FeatureServer/0/11/attachments/3?token=,d83c5a06-bcd0-4eec-9e13-5d5381734622,7/5/2018 12:00:00 AM,madhurap_UPenn,7/5/2018 12:00:00 AM,madhurap_UPenn,d8283aae-db3c-498c-9964-3820d2653b89,11/13/2018 2:24:08 PM,upennamp_UPenn,11/13/2018 2:24:08 PM,upennamp_UPenn,,-75.194206263,39.9523281190001
4,{9065A22A-7574-43BC-9328-B0AB5A7CD76D},Steps on walkway,yes,yes,There are multiple steps on the walkway from College Green towards 36th street,3/28/2018 12:00:00 AM, ,5/21/2018 12:00:00 AM, ,https://services3.arcgis.com/9nfxWATFamVUTTGb/arcgis/rest/services/service_5720cc53888e4e04866aa52501ab9b46/FeatureServer/0/12/attachments/4?token=,981099b0-d0f1-4450-b7f9-fc0d52eecf60,7/5/2018 12:00:00 AM,madhurap_UPenn,7/5/2018 12:00:00 AM,madhurap_UPenn,8cb1291c-9442-4966-b185-6072fdef5d19,11/13/2018 2:24:08 PM,upennamp_UPenn,11/13/2018 2:24:08 PM,upennamp_UPenn,,-75.19416252,39.952444176
5,{39BFB141-FB17-45E5-9246-AD75B47EC95B},Stairs,yes,yes,The alternate route is a ramp between the Anneberg School of Communication and Public Policy Center which leads to Wlanut street. There is another ramp which leads to the Locust Walk.,4/20/2018 12:00:00 AM,madhurap_UPenn,5/21/2018 12:00:00 AM, ,https://services3.arcgis.com/9nfxWATFamVUTTGb/arcgis/rest/services/service_5720cc53888e4e04866aa52501ab9b46/FeatureServer/0/14/attachments/6?token=,125356fc-5f10-46d2-a352-744157a204d5,7/5/2018 12:00:00 AM,madhurap_UPenn,7/5/2018 12:00:00 AM,madhurap_UPenn,a24be4fe-25c7-43c3-837c-3c7c6b21b800,11/13/2018 2:24:08 PM,upennamp_UPenn,11/13/2018 2:24:08 PM,upennamp_UPenn,,-75.195575826,39.952526791
6,{DFAD7A27-EF21-46C4-979C-6B5AC2A2B280},Stairs,yes,no, ,4/20/2018 12:00:00 AM,madhurap_UPenn,4/20/2018 12:00:00 AM,madhurap_UPenn, ,1e847c23-467b-4818-af09-0fea1988d0f2,7/5/2018 12:00:00 AM,madhurap_UPenn,7/5/2018 12:00:00 AM,madhurap_UPenn,4adffa0f-0832-4c46-89bb-05e349588909,11/13/2018 2:24:08 PM,upennamp_UPenn,11/13/2018 2:24:08 PM,upennamp_UPenn,,-75.194777869,39.9525823060001
7,{E4E0A3E9-BFFC-4BB0-B3E6-CE27181EF515},Stairs,yes,no, ,4/20/2018 12:00:00 AM,madhurap_UPenn,5/21/2018 12:00:00 AM, ,https://services3.arcgis.com/9nfxWATFamVUTTGb/arcgis/rest/services/service_5720cc53888e4e04866aa52501ab9b46/FeatureServer/0/16/attachments/9?token=,16a699d6-f009-408c-a647-b7a4530804d1,7/5/2018 12:00:00 AM,madhurap_UPenn,7/5/2018 12:00:00 AM,madhurap_UPenn,4794d866-30ae-46ff-bced-334f4425f809,11/13/2018 2:24:08 PM,upennamp_UPenn,11/13/2018 2:24:08 PM,upennamp_UPenn,,-75.192488101,39.951832847
8, ,Construction,No,No,A large construction project is blocking off this entry point to canvas,, ,, , ,02f2e048-ef2d-4bea-863f-9a9111f1d7e4,9/7/2018 12:00:00 AM, ,9/7/2018 12:00:00 AM, ,a117bd03-4797-4d08-ab9b-e7a26e82fab5,11/13/2018 2:24:08 PM,upennamp_UPenn,11/13/2018 2:24:08 PM,upennamp_UPenn,,-75.197033205031,39.951086472516
9, ,Construction September 2018,No,No,large construction project,, ,, , ,a2aff78b-4e03-4b36-83d3-0d2e27b1500f,9/7/2018 12:00:00 AM, ,9/7/2018 12:00:00 AM, ,49da4e6e-dfb3-44be-9fac-2775ebc879f2,11/13/2018 2:24:08 PM,upennamp_UPenn,11/13/2018 2:24:08 PM,upennamp_UPenn,,-75.1956706428516,39.9515717251264
10,b264d58d-dd48-4665-8e54-5b34e3857823,Stairs,yes,yes, ,, ,5/21/2018 12:00:00 AM, ,https://services3.arcgis.com/9nfxWATFamVUTTGb/arcgis/rest/services/service_5720cc53888e4e04866aa52501ab9b46/FeatureServer/0/1/attachments/1?token=,30e5cd49-22b8-4741-ad71-9fedeacb5733,9/17/2018 12:00:00 AM,madhurap_UPenn,9/17/2018 12:00:00 AM,madhurap_UPenn,8c9467ff-ae71-458b-ad74-a56caf95e367,11/13/2018 2:24:08 PM,upennamp_UPenn,11/13/2018 2:24:08 PM,upennamp_UPenn,,-75.1971554683166,39.9514992802455
